model,subfolder,category_id,question_index,num_iterations,GPT1_mean,GPT2_mean,GPT3_mean,GPT4_mean,GPT5_mean,GPT_overall_score_mean,GPT_overall_score_wo_Q4&5_mean,GPT1_std,GPT2_std,GPT3_std,GPT4_std,GPT5_std,GPT_overall_score_std,GPT_overall_score_wo_Q4&5_std
Claude,Claude,2,11,5,4.6,4.6,5.0,5.0,5.0,4.84,4.7333333333333325,0.5477225575051662,0.5477225575051662,0.0,0.0,0.0,0.21908902300206665,0.36514837167011116
Claude,Claude,3,0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,1,5,4.0,4.0,4.8,5.0,5.0,4.56,4.266666666666667,0.0,0.0,0.44721359549995787,0.0,0.0,0.08944271909999128,0.14907119849998604
Claude,Claude,3,2,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,4,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.17888543819998334,0.29814239699997197
Claude,Claude,3,5,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.17888543819998348,0.2981423969999721
Claude,Claude,3,6,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,7,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,8,5,4.6,4.6,5.0,5.0,5.0,4.84,4.7333333333333325,0.5477225575051662,0.5477225575051662,0.0,0.0,0.0,0.21908902300206665,0.365148371670111
Claude,Claude,3,9,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,10,5,4.5,4.5,4.9,5.0,5.0,4.779999999999999,4.633333333333333,0.5,0.5,0.22360679774997888,0.0,0.0,0.20493901531919215,0.3415650255319868
Claude,Claude,3,11,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,12,5,4.2,3.8,4.6,5.0,4.8,4.4799999999999995,4.2,0.44721359549995804,0.447213595499958,0.547722557505166,0.0,0.44721359549995787,0.3033150177620618,0.380058475033046
Claude,Claude,3,13,5,4.4,4.4,5.0,5.0,5.0,4.76,4.6,0.5477225575051661,0.5477225575051661,0.0,0.0,0.0,0.21908902300206656,0.36514837167011094
Claude,Claude,3,14,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,15,5,4.2,4.2,5.0,5.0,5.0,4.68,4.466666666666667,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.17888543819998348,0.2981423969999722
Claude,Claude,3,16,5,4.9,4.9,4.9,5.0,5.0,4.9399999999999995,4.9,0.22360679774997902,0.22360679774997902,0.22360679774997902,0.0,0.0,0.13416407864998742,0.22360679774997902
Claude,Claude,3,17,5,4.4,4.4,5.0,5.0,5.0,4.76,4.6,0.547722557505166,0.547722557505166,0.0,0.0,0.0,0.21908902300206667,0.365148371670111
Claude,Claude,3,18,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,19,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,20,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,21,5,4.0,4.0,4.6,4.8,5.0,4.4799999999999995,4.2,0.0,0.0,0.5477225575051662,0.44721359549995787,0.0,0.10954451150103288,0.1825741858350552
Claude,Claude,3,22,5,3.6,3.8,4.8,5.0,4.8,4.4,4.066666666666666,0.8944271909999159,0.44721359549995787,0.44721359549995787,0.0,0.44721359549995787,0.44721359549995765,0.5962847939999438
Claude,Claude,3,23,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,0,5,4.4,4.4,5.0,5.0,5.0,4.76,4.6,0.5477225575051662,0.5477225575051662,0.0,0.0,0.0,0.21908902300206665,0.365148371670111
Claude,Claude,4,1,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,2,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,5,5,4.2,4.2,5.0,5.0,5.0,4.68,4.466666666666667,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.17888543819998348,0.29814239699997197
Claude,Claude,4,6,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.17888543819998343,0.2981423969999721
Claude,Claude,4,7,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,8,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,9,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,10,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,5,0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,5,1,5,3.8,3.8,4.6,5.0,4.8,4.4,4.066666666666666,0.4472135954999579,0.4472135954999579,0.5477225575051663,0.0,0.4472135954999579,0.34641016151377535,0.4346134936801767
Claude,Claude,5,2,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,5,3,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.17888543819998348,0.2981423969999721
Claude,Claude,5,4,5,4.5,4.5,4.9,5.0,5.0,4.779999999999999,4.633333333333333,0.5,0.5,0.22360679774997888,0.0,0.0,0.2049390153191922,0.34156502553198687
Claude,Claude,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,5,6,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,5,7,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,5,8,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.17888543819998348,0.2981423969999721
Claude,Claude,5,9,5,4.8,4.8,4.8,5.0,5.0,4.88,4.8,0.44721359549995787,0.44721359549995787,0.44721359549995787,0.0,0.0,0.2683281572999748,0.44721359549995787
Claude,Claude,5,10,5,4.0,3.8,4.0,5.0,4.8,4.32,3.9333333333333327,0.0,0.447213595499958,0.7071067811865476,0.0,0.44721359549995787,0.30331501776206227,0.3651483716701108
Claude,Claude,5,11,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.17888543819998334,0.29814239699997197
Claude,Claude,5,12,5,4.2,4.2,5.0,5.0,5.0,4.68,4.466666666666667,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.17888543819998343,0.2981423969999721
Claude,Claude,5,13,5,4.2,4.2,4.6,5.0,5.0,4.6,4.333333333333333,0.4472135954999579,0.4472135954999579,0.547722557505166,0.0,0.0,0.2449489742783177,0.40824829046386324
Claude,Claude,5,14,5,4.0,4.2,5.0,5.0,5.0,4.64,4.4,0.0,0.44721359549995787,0.0,0.0,0.0,0.08944271909999166,0.1490711984999864
Claude,Claude,5,15,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.44721359549995804,0.44721359549995804,0.0,0.0,0.0,0.17888543819998334,0.29814239699997214
Claude,Claude,5,16,5,4.9,4.9,4.9,5.0,5.0,4.9399999999999995,4.9,0.22360679774997902,0.22360679774997902,0.22360679774997902,0.0,0.0,0.13416407864998742,0.22360679774997902
Claude,Claude,5,17,5,4.6,4.6,5.0,5.0,5.0,4.84,4.7333333333333325,0.547722557505166,0.547722557505166,0.0,0.0,0.0,0.21908902300206667,0.36514837167011105
Claude,Claude,5,18,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,5,19,5,4.6,4.6,5.0,5.0,5.0,4.84,4.7333333333333325,0.5477225575051661,0.5477225575051661,0.0,0.0,0.0,0.21908902300206656,0.36514837167011094
Claude,Claude,5,20,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,5,21,5,4.0,4.0,4.6,4.6,5.0,4.4399999999999995,4.2,0.0,0.0,0.5477225575051661,0.8944271909999159,0.0,0.2607680962081056,0.18257418583505536
Claude,Claude,5,22,5,4.6,4.4,5.0,5.0,5.0,4.8,4.666666666666666,0.5477225575051662,0.5477225575051662,0.0,0.0,0.0,0.20000000000000018,0.3333333333333334
Claude,Claude,5,23,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.44721359549995804,0.44721359549995804,0.0,0.0,0.0,0.17888543819998334,0.29814239699997214
Claude,Claude,6,0,5,4.4,4.0,4.6,5.0,5.0,4.6,4.333333333333333,0.5477225575051662,1.0,0.5477225575051662,0.0,0.0,0.39999999999999986,0.6666666666666667
Claude,Claude,6,1,5,3.2,2.4,3.6,5.0,5.0,3.8400000000000007,3.0666666666666664,0.8366600265340756,0.5477225575051661,0.8944271909999159,0.0,0.0,0.43358966777357627,0.7226494462892934
Claude,Claude,6,2,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,6,3,5,4.0,3.4,4.4,5.0,5.0,4.36,3.9333333333333327,0.0,0.5477225575051661,0.5477225575051662,0.0,0.0,0.21908902300206617,0.36514837167011055
Claude,Claude,6,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,6,5,5,4.2,4.2,5.0,5.0,5.0,4.68,4.466666666666667,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.17888543819998343,0.2981423969999721
Claude,Claude,6,6,5,4.0,3.6,4.6,5.0,5.0,4.4399999999999995,4.066666666666666,0.0,0.5477225575051661,0.5477225575051662,0.0,0.0,0.21908902300206612,0.36514837167011066
Claude,Claude,6,7,5,4.0,4.0,4.6,5.0,5.0,4.5200000000000005,4.2,0.0,0.0,0.5477225575051662,0.0,0.0,0.10954451150103288,0.18257418583505536
Claude,Claude,6,8,5,4.0,4.4,5.0,5.0,5.0,4.68,4.466666666666667,0.0,0.5477225575051661,0.0,0.0,0.0,0.10954451150103338,0.18257418583505558
Claude,Claude,6,9,5,3.0,2.2,3.4,5.0,5.0,3.72,2.8666666666666663,0.7071067811865476,0.8366600265340756,0.5477225575051662,0.0,0.0,0.3898717737923585,0.6497862896539308
Gemini_2.5Pro,Gemini_2.5Pro,1,0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,1,1,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,1,2,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,1,3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,1,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,1,5,5,4.2,4.2,5.0,5.0,5.0,4.68,4.466666666666667,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.17888543819998334,0.29814239699997197
Gemini_2.5Pro,Gemini_2.5Pro,1,6,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,1,7,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,1,8,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0,0.17888543819998343,0.2981423969999721
Gemini_2.5Pro,Gemini_2.5Pro,1,9,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,1,10,5,4.6,4.6,5.0,5.0,5.0,4.84,4.733333333333333,0.4183300132670377,0.4183300132670377,0.0,0.0,0.0,0.16733200530681527,0.27888667551135865
Gemini_2.5Pro,Gemini_2.5Pro,2,0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,2,1,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,2,2,5,4.9,4.9,4.9,5.0,5.0,4.9399999999999995,4.9,0.22360679774997902,0.22360679774997902,0.22360679774997902,0.0,0.0,0.13416407864998767,0.22360679774997902
Gemini_2.5Pro,Gemini_2.5Pro,2,3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,2,4,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.17888543819998348,0.2981423969999721
Gemini_2.5Pro,Gemini_2.5Pro,2,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,2,6,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,2,7,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,2,8,5,4.2,4.2,5.0,5.0,5.0,4.68,4.466666666666667,0.44721359549995804,0.44721359549995804,0.0,0.0,0.0,0.17888543819998334,0.29814239699997214
Gemini_2.5Pro,Gemini_2.5Pro,2,9,5,4.2,3.8,4.2,5.0,4.8,4.4,4.066666666666666,0.4472135954999579,0.447213595499958,0.4472135954999579,0.0,0.44721359549995787,0.282842712474619,0.365148371670111
Gemini_2.5Pro,Gemini_2.5Pro,2,10,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,2,11,5,4.6,4.4,5.0,5.0,5.0,4.8,4.666666666666666,0.5477225575051662,0.547722557505166,0.0,0.0,0.0,0.20000000000000018,0.3333333333333336
Gemini_2.5Pro,Gemini_2.5Pro,3,0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,1,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,2,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,5,5,4.5,4.5,4.9,5.0,5.0,4.779999999999999,4.633333333333333,0.49999999999999994,0.49999999999999994,0.22360679774997894,0.0,0.0,0.2049390153191919,0.3415650255319866
Gemini_2.5Pro,Gemini_2.5Pro,3,6,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,7,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,8,5,4.8,5.0,5.0,5.0,5.0,4.96,4.933333333333334,0.4472135954999579,0.0,0.0,0.0,0.0,0.08944271909999171,0.1490711984999859
Gemini_2.5Pro,Gemini_2.5Pro,3,9,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,10,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,11,5,4.8,4.8,4.8,5.0,5.0,4.88,4.8,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.0,0.0,0.2683281572999745,0.4472135954999579
Gemini_2.5Pro,Gemini_2.5Pro,3,12,5,4.9,4.9,4.9,5.0,5.0,4.9399999999999995,4.9,0.22360679774997888,0.22360679774997888,0.22360679774997888,0.0,0.0,0.13416407864998722,0.22360679774997888
Gemini_2.5Pro,Gemini_2.5Pro,3,13,5,4.4,4.4,5.0,5.0,5.0,4.76,4.6,0.5477225575051662,0.5477225575051662,0.0,0.0,0.0,0.21908902300206665,0.3651483716701107
Gemini_2.5Pro,Gemini_2.5Pro,3,14,5,5.0,5.0,5.0,4.8,5.0,4.96,5.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.08944271909999171,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,15,5,4.0,4.0,4.4,5.0,5.0,4.4799999999999995,4.133333333333333,0.0,0.0,0.5477225575051662,0.0,0.0,0.10954451150103288,0.18257418583505525
Gemini_2.5Pro,Gemini_2.5Pro,3,16,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,17,5,4.2,4.2,5.0,5.0,5.0,4.68,4.466666666666667,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.17888543819998348,0.2981423969999722
Gemini_2.5Pro,Gemini_2.5Pro,3,18,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,19,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,20,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,3,21,5,4.4,4.4,5.0,4.6,5.0,4.68,4.6,0.5477225575051663,0.5477225575051663,0.0,0.894427190999916,0.0,0.33466401061363,0.36514837167011094
Gemini_2.5Pro,Gemini_2.5Pro,3,22,5,3.2,3.2,4.2,5.0,4.0,3.9200000000000004,3.5333333333333328,0.447213595499958,0.447213595499958,0.44721359549995787,0.0,0.0,0.2683281572999747,0.447213595499958
Gemini_2.5Pro,Gemini_2.5Pro,3,23,5,4.6,5.0,5.0,5.0,5.0,4.92,4.866666666666667,0.5477225575051662,0.0,0.0,0.0,0.0,0.10954451150103335,0.1825741858350552
Gemini_2.5Pro,Gemini_2.5Pro,4,0,5,4.2,4.2,4.8,5.0,5.0,4.64,4.4,0.2738612787525831,0.2738612787525831,0.2738612787525831,0.0,0.0,0.05477225575051716,0.09128709291752757
Gemini_2.5Pro,Gemini_2.5Pro,4,1,5,4.2,4.0,5.0,5.0,5.0,4.64,4.4,0.4472135954999579,0.0,0.0,0.0,0.0,0.08944271909999171,0.14907119849998632
Gemini_2.5Pro,Gemini_2.5Pro,4,2,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,4,3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,4,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,4,5,5,4.6,4.6,4.8,5.0,5.0,4.8,4.666666666666666,0.5477225575051663,0.5477225575051663,0.44721359549995804,0.0,0.0,0.28284271247461884,0.4714045207910318
Gemini_2.5Pro,Gemini_2.5Pro,4,6,5,4.6,4.6,5.0,5.0,5.0,4.84,4.7333333333333325,0.5477225575051662,0.5477225575051662,0.0,0.0,0.0,0.21908902300206665,0.3651483716701111
Gemini_2.5Pro,Gemini_2.5Pro,4,7,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,4,8,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,4,9,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,4,10,5,4.3,4.3,4.8,5.0,5.0,4.68,4.466666666666667,0.27386127875258304,0.27386127875258304,0.44721359549995787,0.0,0.0,0.178885438199983,0.2981423969999723
Gemini_2.5Pro,Gemini_2.5Pro,5,0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,5,1,5,4.0,4.0,4.8,5.0,5.0,4.56,4.266666666666667,0.0,0.0,0.44721359549995787,0.0,0.0,0.08944271909999128,0.1490711984999863
Gemini_2.5Pro,Gemini_2.5Pro,5,2,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,5,3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini_2.5Pro,Gemini_2.5Pro,5,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
