model,subfolder,category_id,GPT1_mean,GPT2_mean,GPT3_mean,GPT4_mean,GPT5_mean,GPT_overall_score_mean,GPT_overall_score_wo_Q4&5_mean,GPT1_std,GPT2_std,GPT3_std,GPT4_std,GPT5_std,GPT_overall_score_std,GPT_overall_score_wo_Q4&5_std
Llama-8B,Llama-8B,1,3.8,3.6545454545454548,4.054545454545455,5.0,4.927272727272728,4.287272727272727,3.836363636363636,0.13483997249264856,0.09958591954639404,0.16514456476895414,0.0,0.04065578140908695,0.0786245393106898,0.11853095282186624
Llama-8B,Llama-8B,2,3.35,3.033333333333333,3.5333333333333337,5.0,4.366666666666666,3.8566666666666665,3.305555555555556,0.26614532371118854,0.22515426810177158,0.17280367794439772,0.0,0.1728036779443975,0.1566134661444468,0.21063542900143223
Llama-8B,Llama-8B,3,3.0916666666666663,2.775,3.375,5.0,4.075,3.663333333333333,3.0805555555555553,0.17027347284752103,0.12360330811826095,0.20198666072568047,0.0,0.0903311807861617,0.10810874155219845,0.1554066747855484
Llama-8B,Llama-8B,4,3.0727272727272728,2.963636363636364,3.4727272727272727,5.0,4.436363636363636,3.789090909090909,3.1696969696969695,0.37150575894004645,0.41956293669870287,0.5037052791707297,0.0,0.07606000241218883,0.2511461330884656,0.4218547528556328
Llama-8B,Llama-8B,5,3.166666666666667,2.833333333333333,3.416666666666667,5.0,4.183333333333334,3.72,3.138888888888889,0.07795119555779051,0.15866193970549827,0.1381926995981417,0.0,0.14613064930625136,0.09328123545970464,0.11240565316832372
Llama-8B,Llama-8B,6,2.1,1.98,2.7199999999999998,5.0,4.9399999999999995,3.348,2.2666666666666666,0.1414213562373096,0.130384048104053,0.21679483388678797,0.0,0.13416407864998722,0.0923038460737149,0.12909944487358044
Med42,Med42,1,3.7636363636363632,3.6,3.9272727272727272,4.909090909090909,4.8,4.2,3.763636363636364,0.04979295977319707,0.08131156281817409,0.07606000241218863,0.0,0.040655781409086815,0.03856946079199332,0.05420770854544953
Med42,Med42,2,2.6,2.316666666666667,2.8666666666666667,4.25,3.7,3.146666666666667,2.594444444444444,0.14907119849998604,0.12360330811826116,0.12638125740085915,0.18633899812498217,0.09501461875826149,0.1298503412052163,0.1281997862134925
Med42,Med42,3,3.3492753623188407,3.1710144927536232,3.671376811594203,4.621376811594203,4.036231884057971,3.7698550724637685,3.397222222222222,0.10884199086292591,0.09848309966676926,0.11991877896132024,0.16999087228544205,0.1409497129159849,0.122654266122747,0.10620159313569512
Med42,Med42,4,3.4727272727272727,3.4909090909090907,4.054545454545455,4.909090909090909,4.4,4.0654545454545445,3.672727272727273,0.22406831897938612,0.2638713686127271,0.25389527352307156,0.2032789070454353,0.24562283792920545,0.23091624899427662,0.2399494896342927
Med42,Med42,5,3.35,3.2833333333333337,3.5833333333333335,5.0,4.233333333333333,3.8900000000000006,3.405555555555556,0.047507309379130676,0.08539125638299648,0.05103103630798291,0.0,0.037267799624996364,0.022360679774998064,0.03977172517576772
Med42,Med42,6,2.18,2.36,2.84,5.0,4.9799999999999995,3.472,2.46,0.04472135954999585,0.05477225575051665,0.15165750888103097,0.0,0.04472135954999574,0.05585696017507594,0.07958224257542232
Meditron,Meditron_cluster,1,3.5636363636363635,3.381818181818182,3.672727272727273,5.0,4.909090909090909,4.1054545454545455,3.539393939393939,0.0995859195463937,0.1185309528218662,0.08131156281817409,0.0,0.06428243465332244,0.04706246947470818,0.08938109820456125
Meditron,Meditron_cluster,2,3.5833333333333335,3.4166666666666665,4.0,5.0,4.583333333333333,4.116666666666666,3.6666666666666665,0.13176156917368248,0.1666666666666668,0.10206207261596598,0.0,0.15590239111558074,0.0986013297183272,0.1226633453656645
Meditron,Meditron_cluster,3,3.5333333333333337,3.2583333333333337,3.8833333333333337,5.0,4.4,4.015,3.5583333333333327,0.08014743359029736,0.12977009585331198,0.13629522694830118,0.0,0.10458250331675949,0.08066563360220039,0.09986487784581977
Meditron,Meditron_cluster,4,2.9818181818181815,2.890909090909091,3.4363636363636365,5.0,4.036363636363636,3.669090909090909,3.1030303030303026,0.16262312563634843,0.17486712783337596,0.0760600024121887,0.0,0.08131156281817413,0.06729729281207918,0.08989331499509892
Meditron,Meditron_cluster,5,3.333333333333333,3.075,3.6583333333333337,5.0,4.441666666666666,3.9016666666666664,3.355555555555555,0.26679684322636865,0.24188208789499993,0.17027347284752123,0.0,0.04750730937913093,0.1287493257803272,0.2251542681017715
Meditron,Meditron_cluster,6,2.06,2.0,2.54,5.0,4.92,3.304,2.2,0.11401754250991392,0.07071067811865482,0.1673320053068151,0.0,0.04472135954999574,0.0654217089351845,0.1080123449734643
NVLM,NVLM,1,4.018181818181818,3.9272727272727272,4.49090909090909,5.0,5.0,4.487272727272727,4.1454545454545455,0.14937887931959049,0.14937887931959049,0.049792959773197504,0.0,0.0,0.06219138682358939,0.10365231137264873
NVLM,NVLM,2,3.55,3.183333333333333,3.6666666666666665,5.0,4.483333333333333,3.9766666666666666,3.4666666666666663,0.045643546458763916,0.0912870929175277,0.05892556509887893,0.0,0.06972166887783934,0.04503085362035432,0.06022078719077433
NVLM,NVLM,3,3.0,2.7916666666666665,3.3583333333333334,5.0,3.8416666666666663,3.5983333333333336,3.05,0.058925565098879105,0.05103103630798293,0.06972166887783952,0.0,0.04564354645876376,0.02788866755113601,0.044574462599669885
NVLM,NVLM,4,3.2727272727272725,3.254545454545455,3.8727272727272726,5.0,4.236363636363636,3.9272727272727272,3.4666666666666663,0.12856486930664507,0.09958591954639405,0.103652311372649,0.0,0.08131156281817413,0.05749595745760653,0.07606000241218845
NVLM,NVLM,5,2.7333333333333334,2.4916666666666667,2.941666666666667,5.0,3.7833333333333337,3.3899999999999997,2.7222222222222223,0.04750730937913076,0.045643546458763604,0.04750730937913079,0.0,0.03486083443891985,0.01086533734200439,0.019641855032959524
NVLM,NVLM,6,1.48,1.7600000000000002,1.8199999999999998,5.0,4.96,3.004,1.6866666666666668,0.044721359549995836,0.11401754250991375,0.13038404810405294,0.0,0.08944271909999166,0.04774934554525335,0.0767390962214756
