model,category_id,iteration_number,MedGPT1,MedGPT2,MedGPT3,MedGPT4,MedGPT5,synonyms_lemmatized_f1_dict,MedGPT_avg,category_label
Llama 3.1-8B-Instruct,2,4,3.5,3.3,3.7,5.0,4.6,0.23469773931697985,4.0200000000000005,Category 2
Llama 3.1-8B-Instruct,2,5,3.6,3.4,3.8,5.0,4.5,0.2614643569259809,4.0600000000000005,Category 2
Llama 3.1-8B-Instruct,3,1,3.2857142857142856,2.857142857142857,3.6666666666666665,5.0,4.333333333333333,0.1197713201501239,3.8285714285714283,Category 3
Llama 3.1-8B-Instruct,3,2,3.3333333333333335,3.0,3.4761904761904763,5.0,4.238095238095238,0.11271239585330992,3.8095238095238093,Category 3
Llama 3.1-8B-Instruct,3,3,3.238095238095238,2.9047619047619047,3.5238095238095237,5.0,4.285714285714286,0.10548209346074315,3.7904761904761903,Category 3
Llama 3.1-8B-Instruct,3,4,3.0,2.7142857142857144,3.142857142857143,5.0,4.095238095238095,0.1095540878690131,3.5904761904761906,Category 3
Llama 3.1-8B-Instruct,3,5,3.142857142857143,3.0,3.5238095238095237,5.0,4.142857142857143,0.13444386816677426,3.761904761904762,Category 3
Llama 3.2-1B-Instruct,1,1,2.8181818181818183,2.1818181818181817,2.3636363636363638,5.0,3.727272727272727,0.21893925457887564,3.218181818181818,Category 1
Llama 3.2-1B-Instruct,1,2,3.090909090909091,2.5454545454545454,2.727272727272727,5.0,4.090909090909091,0.259225864532253,3.4909090909090907,Category 1
Llama 3.2-1B-Instruct,1,3,2.5454545454545454,2.1818181818181817,2.272727272727273,5.0,3.5454545454545454,0.21728220741539267,3.109090909090909,Category 1
Llama 3.2-1B-Instruct,1,4,2.5454545454545454,2.1818181818181817,2.4545454545454546,5.0,3.3636363636363638,0.2257666364379113,3.109090909090909,Category 1
Llama 3.2-1B-Instruct,1,5,3.272727272727273,2.727272727272727,3.1818181818181817,5.0,4.2727272727272725,0.24226928123063282,3.6909090909090905,Category 1
Llama 3.2-1B-Instruct,2,1,1.6,1.5,1.8,5.0,3.0,0.16566992439228173,2.58,Category 2
Llama 3.2-1B-Instruct,2,2,1.8,1.5,1.8,4.8,2.6,0.18803667267880061,2.4999999999999996,Category 2
Llama 3.2-1B-Instruct,2,3,2.3,2.1,2.4,4.8,3.3,0.16549971712985806,2.9800000000000004,Category 2
Llama 3.2-1B-Instruct,2,4,2.5,2.2,2.4,5.0,3.2,0.18076165934308827,3.06,Category 2
Llama 3.2-1B-Instruct,2,5,2.1,1.9,2.2,4.9,3.5,0.14681202300066393,2.9200000000000004,Category 2
Llama 3.2-1B-Instruct,3,1,2.142857142857143,1.8095238095238095,2.142857142857143,5.0,3.761904761904762,0.13994842171464686,2.9714285714285715,Category 3
Llama 3.2-1B-Instruct,3,2,2.3333333333333335,1.9523809523809523,2.3333333333333335,5.0,3.2857142857142856,0.10463190418083751,2.980952380952381,Category 3
Llama 3.2-1B-Instruct,3,3,2.0476190476190474,1.619047619047619,2.1904761904761907,5.0,3.0,0.09838787900434062,2.7714285714285714,Category 3
Llama 3.2-1B-Instruct,3,4,2.0,1.619047619047619,2.0952380952380953,5.0,2.9523809523809526,0.08718623827894645,2.7333333333333334,Category 3
Llama 3.2-1B-Instruct,3,5,2.0476190476190474,1.7142857142857142,2.0476190476190474,5.0,3.0952380952380953,0.08878617931915328,2.780952380952381,Category 3
Llama 3.3-70B-Instruct,1,1,3.8181818181818183,3.6363636363636362,4.0,5.0,5.0,0.32719671744889656,4.290909090909091,Category 1
Llama 3.3-70B-Instruct,1,2,3.909090909090909,3.727272727272727,4.2727272727272725,5.0,5.0,0.3160521157746994,4.381818181818182,Category 1
Llama 3.3-70B-Instruct,1,3,3.909090909090909,3.727272727272727,4.0,5.0,5.0,0.3402068952953591,4.327272727272727,Category 1
Llama 3.3-70B-Instruct,1,4,3.909090909090909,3.8181818181818183,4.181818181818182,5.0,5.0,0.350503641279469,4.381818181818182,Category 1
Llama 3.3-70B-Instruct,1,5,3.909090909090909,3.8181818181818183,4.181818181818182,5.0,5.0,0.34353309003117133,4.381818181818182,Category 1
Llama 3.3-70B-Instruct,2,1,4.0,3.7,4.4,5.0,4.9,0.22669156984079972,4.4,Category 2
Llama 3.3-70B-Instruct,2,2,3.9,3.7,4.2,5.0,4.9,0.2405395405509822,4.340000000000001,Category 2
Llama 3.3-70B-Instruct,2,3,3.8,3.7,4.4,5.0,4.8,0.21615347301760082,4.34,Category 2
Llama 3.3-70B-Instruct,2,4,4.0,3.8,4.6,5.0,4.9,0.24194816400698754,4.459999999999999,Category 2
Llama 3.3-70B-Instruct,2,5,4.1,4.0,4.5,5.0,4.9,0.2519827776460636,4.5,Category 2
Llama 3.3-70B-Instruct,3,1,3.7142857142857144,3.4285714285714284,4.095238095238095,5.0,4.714285714285714,0.15169079004154065,4.190476190476191,Category 3
Llama 3.3-70B-Instruct,3,2,3.9523809523809526,3.5714285714285716,4.190476190476191,5.0,4.761904761904762,0.14187892030849975,4.295238095238096,Category 3
Llama 3.3-70B-Instruct,3,3,3.9523809523809526,3.7142857142857144,4.238095238095238,5.0,4.761904761904762,0.15348875688598662,4.333333333333334,Category 3
Llama 3.3-70B-Instruct,3,4,3.9047619047619047,3.7142857142857144,4.142857142857143,5.0,4.571428571428571,0.15082916293109727,4.2666666666666675,Category 3
Llama 3.3-70B-Instruct,3,5,4.0,3.761904761904762,4.190476190476191,5.0,4.809523809523809,0.14832185602404033,4.352380952380953,Category 3
Med42-70B,1,1,3.727272727272727,3.4545454545454546,3.909090909090909,4.909090909090909,4.7272727272727275,0.23952820959280532,4.1454545454545455,Category 1
Med42-70B,1,2,3.727272727272727,3.6363636363636362,3.909090909090909,4.909090909090909,4.818181818181818,0.23952820959280532,4.2,Category 1
Med42-70B,1,3,3.727272727272727,3.6363636363636362,3.8181818181818183,4.909090909090909,4.818181818181818,0.23952820959280532,4.181818181818182,Category 1
Med42-70B,1,4,3.8181818181818183,3.6363636363636362,4.0,4.909090909090909,4.818181818181818,0.23952820959280532,4.236363636363636,Category 1
Med42-70B,1,5,3.8181818181818183,3.6363636363636362,4.0,4.909090909090909,4.818181818181818,0.23952820959280532,4.236363636363636,Category 1
Med42-70B,2,1,3.25,3.0,3.75,5.0,4.5,0.1503689753214087,3.9,Category 2
Med42-70B,2,2,3.25,2.875,3.625,5.0,4.375,0.1503689753214087,3.825,Category 2
Med42-70B,2,3,3.2222222222222223,3.0,3.6666666666666665,5.0,4.222222222222222,0.13366131139680773,3.822222222222222,Category 2
Med42-70B,2,4,3.5,3.125,3.75,5.0,4.625,0.1503689753214087,4.0,Category 2
Med42-70B,2,5,3.25,3.125,3.75,5.0,4.5,0.1503689753214087,3.925,Category 2
Med42-70B,3,1,3.75,3.6,4.2,5.0,4.6,0.10091151350782931,4.2299999999999995,Category 3
Med42-70B,3,2,3.8,3.7,4.25,5.0,4.7,0.10091151350782931,4.29,Category 3
Med42-70B,3,3,3.85,3.65,4.15,5.0,4.65,0.10091151350782931,4.26,Category 3
Med42-70B,3,4,3.9,3.75,4.25,5.0,4.65,0.10091151350782931,4.31,Category 3
Med42-70B,3,5,3.85,3.7,4.2,5.0,4.7,0.10091151350782931,4.29,Category 3
MedGemma 27B,1,1,4.0,3.909090909090909,4.454545454545454,5.0,5.0,0.3487661503347771,4.472727272727273,Category 1
MedGemma 27B,1,2,4.090909090909091,4.090909090909091,4.2727272727272725,5.0,5.0,0.33463923776733545,4.49090909090909,Category 1
MedGemma 27B,1,3,4.0,3.909090909090909,4.454545454545454,5.0,5.0,0.34393178383934847,4.472727272727273,Category 1
MedGemma 27B,1,4,3.909090909090909,3.8181818181818183,4.545454545454546,5.0,5.0,0.33377755185415975,4.454545454545455,Category 1
MedGemma 27B,1,5,4.045454545454546,3.9545454545454546,4.545454545454546,5.0,5.0,0.3508611284307492,4.50909090909091,Category 1
MedGemma 27B,2,1,3.8,3.8,4.3,5.0,4.7,0.1606975102996818,4.319999999999999,Category 2
MedGemma 27B,2,2,3.9,3.9,4.4,5.0,4.8,0.17662734264684254,4.4,Category 2
MedGemma 27B,2,3,3.8,3.8,4.2,5.0,4.9,0.17007939581428613,4.340000000000001,Category 2
MedGemma 27B,2,4,4.1,4.1,4.5,5.0,4.9,0.20381197926992695,4.5200000000000005,Category 2
MedGemma 27B,2,5,4.1,4.0,4.4,5.0,4.8,0.19157647860467716,4.46,Category 2
MedGemma 27B,3,1,4.0,3.857142857142857,4.476190476190476,5.0,4.809523809523809,0.10002189522584246,4.428571428571429,Category 3
MedGemma 27B,3,2,4.095238095238095,4.0,4.571428571428571,5.0,4.857142857142857,0.08711705809942971,4.504761904761905,Category 3
MedGemma 27B,3,3,4.238095238095238,4.285714285714286,4.666666666666667,5.0,4.904761904761905,0.09536839350520483,4.619047619047619,Category 3
MedGemma 27B,3,4,4.142857142857143,3.9047619047619047,4.285714285714286,5.0,4.904761904761905,0.1076862958540089,4.447619047619048,Category 3
MedGemma 27B,3,5,4.0,3.9047619047619047,4.333333333333333,5.0,4.714285714285714,0.08214418036093225,4.390476190476191,Category 3
Meditron 3-70B,1,1,3.4545454545454546,3.272727272727273,3.5454545454545454,5.0,5.0,0.34136951442510033,4.054545454545455,Category 1
Meditron 3-70B,1,2,3.5454545454545454,3.4545454545454546,3.727272727272727,5.0,4.818181818181818,0.34251865491488154,4.109090909090909,Category 1
Meditron 3-70B,1,3,3.5454545454545454,3.272727272727273,3.727272727272727,5.0,4.909090909090909,0.3287150852795875,4.090909090909091,Category 1
Meditron 3-70B,1,4,3.727272727272727,3.5454545454545454,3.727272727272727,5.0,4.909090909090909,0.28588132922001874,4.181818181818182,Category 1
Meditron 3-70B,1,5,3.5454545454545454,3.3636363636363638,3.6363636363636362,5.0,4.909090909090909,0.29975373235975145,4.090909090909091,Category 1
Meditron 3-70B,2,1,3.7,3.4,4.2,5.0,4.7,0.33972562863867206,4.2,Category 2
Meditron 3-70B,2,2,3.8,3.6,4.0,5.0,4.5,0.241670480549199,4.18,Category 2
Meditron 3-70B,2,3,3.6,3.4,4.1,5.0,4.7,0.29827111336106843,4.16,Category 2
Meditron 3-70B,2,4,4.0,3.8,4.4,5.0,4.8,0.26396245912584815,4.4,Category 2
Meditron 3-70B,2,5,3.9,3.8,4.2,5.0,4.8,0.25479209865764496,4.34,Category 2
Meditron 3-70B,3,1,3.761904761904762,3.5238095238095237,4.190476190476191,5.0,4.714285714285714,0.1491516823861254,4.238095238095238,Category 3
Meditron 3-70B,3,2,3.619047619047619,3.380952380952381,4.095238095238095,5.0,4.619047619047619,0.15340571046621615,4.142857142857143,Category 3
Meditron 3-70B,3,3,3.857142857142857,3.5238095238095237,4.142857142857143,5.0,4.761904761904762,0.1749342830928509,4.257142857142858,Category 3
Meditron 3-70B,3,4,3.6666666666666665,3.5238095238095237,4.0476190476190474,5.0,4.571428571428571,0.13433685890564598,4.161904761904762,Category 3
Meditron 3-70B,3,5,3.7142857142857144,3.3333333333333335,3.8095238095238093,5.0,4.523809523809524,0.15932303532253567,4.076190476190476,Category 3
NVLM-70B,1,1,3.909090909090909,3.8181818181818183,4.454545454545454,5.0,5.0,0.27593227331443,4.436363636363636,Category 1
NVLM-70B,1,2,3.909090909090909,3.8181818181818183,4.454545454545454,5.0,5.0,0.27593227331443,4.436363636363636,Category 1
NVLM-70B,1,3,3.909090909090909,3.8181818181818183,4.545454545454546,5.0,5.0,0.27593227331443,4.454545454545455,Category 1
NVLM-70B,1,4,4.181818181818182,4.090909090909091,4.545454545454546,5.0,5.0,0.27593227331443,4.563636363636364,Category 1
NVLM-70B,1,5,4.181818181818182,4.090909090909091,4.454545454545454,5.0,5.0,0.27593227331443,4.545454545454545,Category 1
NVLM-70B,2,1,3.7,3.4,3.8,5.0,4.6,0.18657423660552025,4.1,Category 2
NVLM-70B,2,2,3.6,3.3,3.8,5.0,4.5,0.18657423660552025,4.04,Category 2
NVLM-70B,2,3,3.6,3.4,3.8,5.0,4.5,0.18657423660552025,4.0600000000000005,Category 2
NVLM-70B,2,4,3.7,3.5,3.9,5.0,4.6,0.18657423660552025,4.140000000000001,Category 2
NVLM-70B,2,5,3.7,3.3,3.8,5.0,4.7,0.18657423660552025,4.1,Category 2
NVLM-70B,3,1,3.142857142857143,2.9047619047619047,3.4761904761904763,5.0,3.9047619047619047,0.08934320464221246,3.6857142857142855,Category 3
NVLM-70B,3,2,3.0476190476190474,2.857142857142857,3.380952380952381,5.0,3.9047619047619047,0.08934320464221246,3.638095238095238,Category 3
NVLM-70B,3,3,3.142857142857143,2.857142857142857,3.4761904761904763,5.0,4.0476190476190474,0.08934320464221246,3.704761904761905,Category 3
NVLM-70B,3,4,3.142857142857143,2.9047619047619047,3.2857142857142856,5.0,3.9523809523809526,0.08934320464221246,3.657142857142857,Category 3
NVLM-70B,3,5,3.238095238095238,3.0,3.4285714285714284,5.0,3.9523809523809526,0.08934320464221246,3.723809523809524,Category 3
Rephrased Gold Answers,1,1,4.818181818181818,4.818181818181818,5.0,5.0,5.0,0.5678062602109524,4.927272727272728,Category 1
Rephrased Gold Answers,1,2,4.909090909090909,4.909090909090909,5.0,5.0,5.0,0.5643819361155512,4.963636363636364,Category 1
Rephrased Gold Answers,1,3,5.0,5.0,5.0,5.0,5.0,0.5595857904525982,5.0,Category 1
Rephrased Gold Answers,1,4,4.909090909090909,5.0,5.0,5.0,5.0,0.5680818401715045,4.981818181818182,Category 1
Rephrased Gold Answers,1,5,4.909090909090909,4.909090909090909,5.0,5.0,5.0,0.5597485616547201,4.963636363636364,Category 1
Rephrased Gold Answers,2,1,4.8,4.8,5.0,5.0,5.0,0.5195115995115996,4.92,Category 2
Rephrased Gold Answers,2,2,4.8,4.8,5.0,5.0,5.0,0.49841269841269853,4.92,Category 2
Rephrased Gold Answers,2,3,4.8,4.8,5.0,5.0,5.0,0.4861782661782662,4.92,Category 2
Rephrased Gold Answers,2,4,4.8,4.8,5.0,5.0,5.0,0.5028449328449329,4.92,Category 2
Rephrased Gold Answers,2,5,4.8,4.8,5.0,5.0,5.0,0.4828449328449329,4.92,Category 2
Rephrased Gold Answers,3,1,4.523809523809524,4.523809523809524,4.809523809523809,5.0,4.9523809523809526,0.5103508924937495,4.761904761904762,Category 3
Rephrased Gold Answers,3,2,4.619047619047619,4.619047619047619,4.857142857142857,5.0,4.9523809523809526,0.5143758358044073,4.809523809523809,Category 3
Rephrased Gold Answers,3,3,4.619047619047619,4.619047619047619,4.904761904761905,5.0,4.9523809523809526,0.5535292749578464,4.819047619047619,Category 3
Rephrased Gold Answers,3,4,4.523809523809524,4.571428571428571,4.809523809523809,5.0,4.9523809523809526,0.5143758358044073,4.771428571428571,Category 3
Rephrased Gold Answers,3,5,4.523809523809524,4.571428571428571,4.857142857142857,5.0,4.9523809523809526,0.5143758358044073,4.780952380952381,Category 3
