model,category_id,MedGPT1_mean,MedGPT1_std,MedGPT2_mean,MedGPT2_std,MedGPT3_mean,MedGPT3_std,MedGPT4_mean,MedGPT4_std,MedGPT5_mean,MedGPT5_std,synonyms_lemmatized_f1_dict_mean,synonyms_lemmatized_f1_dict_std
Llama 3.1-8B-Instruct,2,3.44,0.28809720581775855,3.1799999999999997,0.2683281572999747,3.6399999999999997,0.18165902124584962,5.0,0.0,4.46,0.20736441353327714,0.25777188708098486,0.014448287881251298
Llama 3.1-8B-Instruct,3,3.2,0.132137494528682,2.895238095238095,0.11857047236179742,3.4666666666666663,0.19459825468288128,5.0,0.0,4.219047619047619,0.09874495882537011,0.11639275309999286,0.011364553838961178
Llama 3.2-1B-Instruct,1,2.8545454545454545,0.3252462512726968,2.3636363636363633,0.2571297386132901,2.6,0.3670296225124789,5.0,0.0,3.8,0.37702620642414025,0.23269664883901306,0.017820848389695467
Llama 3.2-1B-Instruct,2,2.06,0.36469165057620917,1.8399999999999999,0.3286335345030998,2.12,0.30331501776206193,4.9,0.10000000000000017,3.12,0.3420526275297414,0.16935599930893852,0.01593538175484056
Llama 3.2-1B-Instruct,3,2.1142857142857143,0.13299276232160903,1.7428571428571427,0.14126092356372694,2.161904761904762,0.10962728031639388,5.0,0.0,3.219047619047619,0.3292264003322591,0.10378812449958494,0.021436666575757057
Llama 3.3-70B-Instruct,1,3.8909090909090907,0.04065578140908701,3.745454545454545,0.0760600024121889,4.127272727272727,0.12196734422726112,5.0,0.0,5.0,0.0,0.3354984919659191,0.013774608352024797
Llama 3.3-70B-Instruct,2,3.9599999999999995,0.11401754250991382,3.78,0.13038404810405282,4.42,0.14832396974191298,5.0,0.0,4.880000000000001,0.044721359549996155,0.23546310501248677,0.014058160342886865
Llama 3.3-70B-Instruct,3,3.904761904761905,0.11167656571008171,3.638095238095238,0.13718914562750417,4.171428571428572,0.05429406786186411,5.0,0.0,4.723809523809524,0.09159706696033978,0.14924189723823292,0.004516973829710306
Med42-70B,1,3.7636363636363632,0.04979295977319706,3.6,0.08131156281817409,3.9272727272727272,0.07606000241218863,4.909090909090909,0.0,4.8,0.040655781409086815,0.23952820959280535,0.0
Med42-70B,2,3.2944444444444443,0.1155368574615856,3.025,0.10458250331675942,3.7083333333333335,0.05892556509887906,5.0,0.0,4.444444444444445,0.15246179444513994,0.1470274425364885,0.0074718944561257316
Med42-70B,3,3.8299999999999996,0.057008771254957034,3.6799999999999997,0.05700877125495675,4.21,0.041833001326703596,5.0,0.0,4.66,0.04183300132670379,0.10091151350782931,0.0
MedGemma 27B,1,4.00909090909091,0.0674199862463243,3.9363636363636365,0.09958591954639372,4.454545454545455,0.11134044285378114,5.0,0.0,5.0,0.0,0.342395170445274,0.00789051411464687
MedGemma 27B,2,3.94,0.1516575088810311,3.9200000000000004,0.1303840481040531,4.36,0.11401754250991397,5.0,0.0,4.82,0.08366600265340779,0.1805585413270829,0.017188984010318795
MedGemma 27B,3,4.095238095238095,0.10101525445522114,3.9904761904761905,0.17300859166271373,4.466666666666667,0.15936381457791932,5.0,0.0,4.838095238095238,0.07968190728895957,0.09446756460908363,0.010152495780619232
Meditron 3-70B,1,3.5636363636363635,0.0995859195463937,3.381818181818182,0.1185309528218662,3.672727272727273,0.08131156281817409,5.0,0.0,4.909090909090909,0.06428243465332244,0.3196476632398679,0.025559112956835942
Meditron 3-70B,2,3.8,0.15811388300841878,3.6,0.2,4.18,0.1483239697419135,5.0,0.0,4.7,0.12247448713915894,0.2796843560664865,0.039567281979493774
Meditron 3-70B,3,3.723809523809524,0.0915970669603398,3.457142857142857,0.09282661280770439,4.057142857142857,0.1483086809752136,5.0,0.0,4.638095238095238,0.09874495882536997,0.15423031403467483,0.014805507187489308
NVLM-70B,1,4.018181818181818,0.14937887931959049,3.9272727272727272,0.14937887931959049,4.49090909090909,0.049792959773197504,5.0,0.0,5.0,0.0,0.27593227331443,0.0
NVLM-70B,2,3.66,0.054772255750516675,3.38,0.08366600265340765,3.8199999999999994,0.04472135954999586,5.0,0.0,4.58,0.08366600265340754,0.18657423660552025,0.0
NVLM-70B,3,3.142857142857143,0.06734350297014764,2.9047619047619047,0.05832118435198043,3.4095238095238094,0.07968190728895976,5.0,0.0,3.9523809523809526,0.05832118435198045,0.08934320464221246,0.0
Rephrased Gold Answers,1,4.909090909090909,0.0642824346533226,4.927272727272728,0.07606000241218876,5.0,0.0,5.0,0.0,5.0,0.0,0.5639208777210654,0.004147999018578766
Rephrased Gold Answers,2,4.8,0.0,4.8,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.497958485958486,0.014627144644013022
Rephrased Gold Answers,3,4.561904761904762,0.05216405309572992,4.580952380952381,0.03984095364447965,4.847619047619047,0.03984095364447998,5.0,0.0,4.9523809523809526,0.0,0.5214015349729635,0.018044318511381996
