model,iteration_number,MedGPT1,MedGPT2,MedGPT3,MedGPT4,MedGPT5,synonyms_lemmatized_f1_dict
Llama 3.3-70B-Instruct,2,3.9046536796536797,3.6425324675324675,4.1777056277056275,5.0,4.820238095238095,0.20837271835638743
Llama 3.3-70B-Instruct,3,3.8677489177489175,3.6901515151515154,4.195238095238095,5.0,4.819047619047619,0.21286299376104145
Llama 3.3-70B-Instruct,4,3.882034632034632,3.702164502164502,4.243073593073593,5.0,4.772619047619047,0.21839927749974547
Llama 3.3-70B-Instruct,5,3.9665584415584414,3.787878787878788,4.218073593073593,5.0,4.832142857142857,0.2200477329758404
Med42-70B,1,3.5508658008658007,3.3826839826839827,3.893344155844156,4.9772727272727275,4.540151515151515,0.1446558344216163
Med42-70B,2,3.563365800865801,3.409983766233766,3.8984036796536796,4.9772727272727275,4.56853354978355,0.1446558344216163
Med42-70B,3,3.5808261183261183,3.428733766233766,3.8491883116883114,4.9772727272727275,4.505934343434344,0.14047891844046606
Med42-70B,4,3.7093073593073593,3.520698051948052,3.9404761904761907,4.9772727272727275,4.594724025974026,0.1446558344216163
Med42-70B,5,3.6224025974025977,3.5081980519480522,3.9160714285714286,4.9772727272727275,4.552164502164502,0.1446558344216163
MedGemma 27B,1,3.8904761904761904,3.7725108225108226,4.343398268398269,5.0,4.794047619047619,0.1762015784849538
MedGemma 27B,2,3.9501082251082247,3.9024891774891772,4.334848484848485,5.0,4.830952380952381,0.17485274308292637
MedGemma 27B,3,4.033333333333333,3.9748917748917747,4.473160173160173,5.0,4.927380952380952,0.17594226380791886
MedGemma 27B,4,4.014177489177489,3.884307359307359,4.428030303030303,5.0,4.891666666666667,0.1851665998094743
MedGemma 27B,5,3.9054112554112557,3.8100649350649354,4.295887445887446,5.0,4.771428571428571,0.17680546342703235
Meditron 3-70B,1,3.633874458874459,3.3705627705627705,3.9244588744588746,5.0,4.710714285714285,0.25191519553374
Meditron 3-70B,2,3.5268398268398267,3.323160173160173,3.848484848484848,5.0,4.591450216450216,0.22954543461331384
Meditron 3-70B,3,3.536363636363636,3.2872294372294375,3.8853896103896104,5.0,4.7237012987012985,0.2485883007933707
Meditron 3-70B,4,3.7532467532467533,3.5506493506493504,3.984199134199134,5.0,4.689177489177489,0.2170298583771852
Meditron 3-70B,5,3.682792207792208,3.4575757575757575,3.863852813852814,5.0,4.689177489177489,0.2233179800175315
NVLM-70B,1,3.3784632034632036,3.1616883116883114,3.658874458874459,5.0,4.328571428571428,0.16416857380539238
NVLM-70B,2,3.3177489177489177,3.1247835497835497,3.658874458874459,5.0,4.291666666666667,0.16416857380539238
NVLM-70B,3,3.3415584415584414,3.1497835497835496,3.6935064935064936,5.0,4.351190476190476,0.16416857380539238
NVLM-70B,4,3.4585497835497834,3.278679653679654,3.647077922077922,5.0,4.34047619047619,0.16416857380539238
NVLM-70B,5,3.4823593073593075,3.2524891774891773,3.658874458874459,5.0,4.353571428571429,0.16416857380539238
Rephrased Gold Answers,1,4.678354978354978,4.69025974025974,4.928571428571429,5.0,4.976190476190476,0.532675790640409
Rephrased Gold Answers,2,4.736796536796536,4.736796536796536,4.928571428571429,5.0,4.976190476190476,0.5347252008728904
Rephrased Gold Answers,3,4.7595238095238095,4.7595238095238095,4.9523809523809526,5.0,4.976190476190476,0.5297400431710308
Rephrased Gold Answers,4,4.712987012987012,4.7595238095238095,4.928571428571429,5.0,4.976190476190476,0.5281036625546501
Rephrased Gold Answers,5,4.665367965367965,4.712987012987012,4.928571428571429,5.0,4.976190476190476,0.526046797951909
