model,category_id,iteration_number,MedGPT1,MedGPT2,MedGPT3,MedGPT4,MedGPT5,synonyms_lemmatized_f1_dict
Gemma 3 27B,3,3,3.4761904761904763,3.4761904761904763,3.761904761904762,4.904761904761905,4.380952380952381,0.11233691057271532
Gemma 3 27B,3,4,3.619047619047619,3.5238095238095237,4.0,5.0,4.523809523809524,0.12069244920659171
Gemma 3 27B,3,5,3.7142857142857144,3.4285714285714284,3.9047619047619047,5.0,4.476190476190476,0.10657496943211228
Llama 3.1-8B-Instruct,1,1,3.6363636363636362,3.6363636363636362,4.0,5.0,4.909090909090909,0.27576644983062093
Llama 3.1-8B-Instruct,1,2,3.727272727272727,3.6363636363636362,4.090909090909091,5.0,4.909090909090909,0.2899624631566854
Llama 3.1-8B-Instruct,1,3,3.8181818181818183,3.5454545454545454,3.8181818181818183,5.0,4.909090909090909,0.29354895468731446
Llama 3.1-8B-Instruct,1,4,3.8181818181818183,3.6363636363636362,4.090909090909091,5.0,4.909090909090909,0.28386287467038457
Llama 3.1-8B-Instruct,1,5,4.0,3.8181818181818183,4.2727272727272725,5.0,5.0,0.3022760419852082
Llama 3.1-8B-Instruct,2,1,3.1,3.0,3.4,5.0,4.2,0.2547150525430669
Llama 3.1-8B-Instruct,2,2,3.8,3.4,3.8,5.0,4.7,0.2652579272579273
Llama 3.1-8B-Instruct,2,3,3.2,2.8,3.5,5.0,4.3,0.2727243593609694
Llama 3.1-8B-Instruct,2,4,3.5,3.3,3.7,5.0,4.6,0.23469773931697985
Llama 3.1-8B-Instruct,2,5,3.6,3.4,3.8,5.0,4.5,0.2614643569259809
Llama 3.1-8B-Instruct,3,1,3.2857142857142856,2.857142857142857,3.6666666666666665,5.0,4.333333333333333,0.1197713201501239
Llama 3.1-8B-Instruct,3,2,3.3333333333333335,3.0,3.4761904761904763,5.0,4.238095238095238,0.11271239585330992
Llama 3.1-8B-Instruct,3,3,3.238095238095238,2.9047619047619047,3.5238095238095237,5.0,4.285714285714286,0.10548209346074315
Llama 3.1-8B-Instruct,3,4,3.0,2.7142857142857144,3.142857142857143,5.0,4.095238095238095,0.1095540878690131
Llama 3.1-8B-Instruct,3,5,3.142857142857143,3.0,3.5238095238095237,5.0,4.142857142857143,0.13444386816677426
Llama 3.2-1B-Instruct,1,1,2.8181818181818183,2.1818181818181817,2.3636363636363638,5.0,3.727272727272727,0.21893925457887564
Llama 3.2-1B-Instruct,1,2,3.090909090909091,2.5454545454545454,2.727272727272727,5.0,4.090909090909091,0.259225864532253
Llama 3.2-1B-Instruct,1,3,2.5454545454545454,2.1818181818181817,2.272727272727273,5.0,3.5454545454545454,0.21728220741539267
Llama 3.2-1B-Instruct,1,4,2.5454545454545454,2.1818181818181817,2.4545454545454546,5.0,3.3636363636363638,0.2257666364379113
Llama 3.2-1B-Instruct,1,5,3.272727272727273,2.727272727272727,3.1818181818181817,5.0,4.2727272727272725,0.24226928123063282
Llama 3.2-1B-Instruct,2,1,1.6,1.5,1.8,5.0,3.0,0.16566992439228173
Llama 3.2-1B-Instruct,2,2,1.8,1.5,1.8,4.8,2.6,0.18803667267880061
Llama 3.2-1B-Instruct,2,3,2.3,2.1,2.4,4.8,3.3,0.16549971712985806
Llama 3.2-1B-Instruct,2,4,2.5,2.2,2.4,5.0,3.2,0.18076165934308827
Llama 3.2-1B-Instruct,2,5,2.1,1.9,2.2,4.9,3.5,0.14681202300066393
Llama 3.2-1B-Instruct,3,1,2.142857142857143,1.8095238095238095,2.142857142857143,5.0,3.761904761904762,0.13994842171464686
Llama 3.2-1B-Instruct,3,2,2.3333333333333335,1.9523809523809523,2.3333333333333335,5.0,3.2857142857142856,0.10463190418083751
Llama 3.2-1B-Instruct,3,3,2.0476190476190474,1.619047619047619,2.1904761904761907,5.0,3.0,0.09838787900434062
Llama 3.2-1B-Instruct,3,4,2.0,1.619047619047619,2.0952380952380953,5.0,2.9523809523809526,0.08718623827894645
Llama 3.2-1B-Instruct,3,5,2.0476190476190474,1.7142857142857142,2.0476190476190474,5.0,3.0952380952380953,0.08878617931915328
Llama 3.3-70B-Instruct,1,1,3.8181818181818183,3.6363636363636362,4.0,5.0,5.0,0.32719671744889656
Llama 3.3-70B-Instruct,1,2,3.909090909090909,3.727272727272727,4.2727272727272725,5.0,5.0,0.3160521157746994
Llama 3.3-70B-Instruct,1,3,3.909090909090909,3.727272727272727,4.0,5.0,5.0,0.3402068952953591
Llama 3.3-70B-Instruct,1,4,3.909090909090909,3.8181818181818183,4.181818181818182,5.0,5.0,0.350503641279469
Llama 3.3-70B-Instruct,1,5,3.909090909090909,3.8181818181818183,4.181818181818182,5.0,5.0,0.34353309003117133
Llama 3.3-70B-Instruct,2,1,4.0,3.7,4.4,5.0,4.9,0.22669156984079972
Llama 3.3-70B-Instruct,2,2,3.9,3.7,4.2,5.0,4.9,0.2405395405509822
Llama 3.3-70B-Instruct,2,3,3.8,3.7,4.4,5.0,4.8,0.21615347301760082
Llama 3.3-70B-Instruct,2,4,4.0,3.8,4.6,5.0,4.9,0.24194816400698754
Llama 3.3-70B-Instruct,2,5,4.1,4.0,4.5,5.0,4.9,0.2519827776460636
Llama 3.3-70B-Instruct,3,1,3.7142857142857144,3.4285714285714284,4.095238095238095,5.0,4.714285714285714,0.15169079004154065
Llama 3.3-70B-Instruct,3,2,3.9523809523809526,3.5714285714285716,4.190476190476191,5.0,4.761904761904762,0.14187892030849975
Llama 3.3-70B-Instruct,3,3,3.9523809523809526,3.7142857142857144,4.238095238095238,5.0,4.761904761904762,0.15348875688598662
Llama 3.3-70B-Instruct,3,4,3.9047619047619047,3.7142857142857144,4.142857142857143,5.0,4.571428571428571,0.15082916293109727
Llama 3.3-70B-Instruct,3,5,4.0,3.761904761904762,4.190476190476191,5.0,4.809523809523809,0.14832185602404033
Med42-70B,1,1,3.727272727272727,3.4545454545454546,3.909090909090909,4.909090909090909,4.7272727272727275,0.23952820959280532
Med42-70B,1,2,3.727272727272727,3.6363636363636362,3.909090909090909,4.909090909090909,4.818181818181818,0.23952820959280532
Med42-70B,1,3,3.727272727272727,3.6363636363636362,3.8181818181818183,4.909090909090909,4.818181818181818,0.23952820959280532
Med42-70B,1,4,3.8181818181818183,3.6363636363636362,4.0,4.909090909090909,4.818181818181818,0.23952820959280532
Med42-70B,1,5,3.8181818181818183,3.6363636363636362,4.0,4.909090909090909,4.818181818181818,0.23952820959280532
Med42-70B,2,1,3.25,3.0,3.75,5.0,4.5,0.1503689753214087
Med42-70B,2,2,3.25,2.875,3.625,5.0,4.375,0.1503689753214087
Med42-70B,2,3,3.2222222222222223,3.0,3.6666666666666665,5.0,4.222222222222222,0.13366131139680773
Med42-70B,2,4,3.5,3.125,3.75,5.0,4.625,0.1503689753214087
Med42-70B,2,5,3.25,3.125,3.75,5.0,4.5,0.1503689753214087
Med42-70B,3,1,3.75,3.6,4.2,5.0,4.6,0.10091151350782931
Med42-70B,3,2,3.8,3.7,4.25,5.0,4.7,0.10091151350782931
Med42-70B,3,3,3.85,3.65,4.15,5.0,4.65,0.10091151350782931
Med42-70B,3,4,3.9,3.75,4.25,5.0,4.65,0.10091151350782931
Med42-70B,3,5,3.85,3.7,4.2,5.0,4.7,0.10091151350782931
MedGemma 27B,1,1,4.0,3.909090909090909,4.454545454545454,5.0,5.0,0.3487661503347771
MedGemma 27B,1,2,4.090909090909091,4.090909090909091,4.2727272727272725,5.0,5.0,0.33463923776733545
MedGemma 27B,1,3,4.0,3.909090909090909,4.454545454545454,5.0,5.0,0.34393178383934847
MedGemma 27B,1,4,3.909090909090909,3.8181818181818183,4.545454545454546,5.0,5.0,0.33377755185415975
MedGemma 27B,1,5,4.045454545454546,3.9545454545454546,4.545454545454546,5.0,5.0,0.3508611284307492
MedGemma 27B,2,1,3.8,3.8,4.3,5.0,4.7,0.1606975102996818
MedGemma 27B,2,2,3.9,3.9,4.4,5.0,4.8,0.17662734264684254
MedGemma 27B,2,3,3.8,3.8,4.2,5.0,4.9,0.17007939581428613
MedGemma 27B,2,4,4.1,4.1,4.5,5.0,4.9,0.20381197926992695
MedGemma 27B,2,5,4.1,4.0,4.4,5.0,4.8,0.19157647860467716
MedGemma 27B,3,1,4.0,3.857142857142857,4.476190476190476,5.0,4.809523809523809,0.10002189522584246
MedGemma 27B,3,2,4.095238095238095,4.0,4.571428571428571,5.0,4.857142857142857,0.08711705809942971
MedGemma 27B,3,3,4.238095238095238,4.285714285714286,4.666666666666667,5.0,4.904761904761905,0.09536839350520483
MedGemma 27B,3,4,4.142857142857143,3.9047619047619047,4.285714285714286,5.0,4.904761904761905,0.1076862958540089
MedGemma 27B,3,5,4.0,3.9047619047619047,4.333333333333333,5.0,4.714285714285714,0.08214418036093225
Meditron 3-70B,1,1,3.4545454545454546,3.272727272727273,3.5454545454545454,5.0,5.0,0.34136951442510033
Meditron 3-70B,1,2,3.5454545454545454,3.4545454545454546,3.727272727272727,5.0,4.818181818181818,0.34251865491488154
Meditron 3-70B,1,3,3.5454545454545454,3.272727272727273,3.727272727272727,5.0,4.909090909090909,0.3287150852795875
Meditron 3-70B,1,4,3.727272727272727,3.5454545454545454,3.727272727272727,5.0,4.909090909090909,0.28588132922001874
Meditron 3-70B,1,5,3.5454545454545454,3.3636363636363638,3.6363636363636362,5.0,4.909090909090909,0.29975373235975145
Meditron 3-70B,2,1,3.7,3.4,4.2,5.0,4.7,0.33972562863867206
Meditron 3-70B,2,2,3.8,3.6,4.0,5.0,4.5,0.241670480549199
Meditron 3-70B,2,3,3.6,3.4,4.1,5.0,4.7,0.29827111336106843
Meditron 3-70B,2,4,4.0,3.8,4.4,5.0,4.8,0.26396245912584815
Meditron 3-70B,2,5,3.9,3.8,4.2,5.0,4.8,0.25479209865764496
Meditron 3-70B,3,1,3.761904761904762,3.5238095238095237,4.190476190476191,5.0,4.714285714285714,0.1491516823861254
Meditron 3-70B,3,2,3.619047619047619,3.380952380952381,4.095238095238095,5.0,4.619047619047619,0.15340571046621615
Meditron 3-70B,3,3,3.857142857142857,3.5238095238095237,4.142857142857143,5.0,4.761904761904762,0.1749342830928509
Meditron 3-70B,3,4,3.6666666666666665,3.5238095238095237,4.0476190476190474,5.0,4.571428571428571,0.13433685890564598
Meditron 3-70B,3,5,3.7142857142857144,3.3333333333333335,3.8095238095238093,5.0,4.523809523809524,0.15932303532253567
NVLM-70B,1,1,3.909090909090909,3.8181818181818183,4.454545454545454,5.0,5.0,0.27593227331443
NVLM-70B,1,2,3.909090909090909,3.8181818181818183,4.454545454545454,5.0,5.0,0.27593227331443
NVLM-70B,1,3,3.909090909090909,3.8181818181818183,4.545454545454546,5.0,5.0,0.27593227331443
NVLM-70B,1,4,4.181818181818182,4.090909090909091,4.545454545454546,5.0,5.0,0.27593227331443
NVLM-70B,1,5,4.181818181818182,4.090909090909091,4.454545454545454,5.0,5.0,0.27593227331443
NVLM-70B,2,1,3.7,3.4,3.8,5.0,4.6,0.18657423660552025
NVLM-70B,2,2,3.6,3.3,3.8,5.0,4.5,0.18657423660552025
NVLM-70B,2,3,3.6,3.4,3.8,5.0,4.5,0.18657423660552025
NVLM-70B,2,4,3.7,3.5,3.9,5.0,4.6,0.18657423660552025
NVLM-70B,2,5,3.7,3.3,3.8,5.0,4.7,0.18657423660552025
NVLM-70B,3,1,3.142857142857143,2.9047619047619047,3.4761904761904763,5.0,3.9047619047619047,0.08934320464221246
NVLM-70B,3,2,3.0476190476190474,2.857142857142857,3.380952380952381,5.0,3.9047619047619047,0.08934320464221246
NVLM-70B,3,3,3.142857142857143,2.857142857142857,3.4761904761904763,5.0,4.0476190476190474,0.08934320464221246
NVLM-70B,3,4,3.142857142857143,2.9047619047619047,3.2857142857142856,5.0,3.9523809523809526,0.08934320464221246
NVLM-70B,3,5,3.238095238095238,3.0,3.4285714285714284,5.0,3.9523809523809526,0.08934320464221246
Rephrased Gold Answers,1,1,4.818181818181818,4.818181818181818,5.0,5.0,5.0,0.5678062602109524
Rephrased Gold Answers,1,2,4.909090909090909,4.909090909090909,5.0,5.0,5.0,0.5643819361155512
Rephrased Gold Answers,1,3,5.0,5.0,5.0,5.0,5.0,0.5595857904525982
Rephrased Gold Answers,1,4,4.909090909090909,5.0,5.0,5.0,5.0,0.5680818401715045
Rephrased Gold Answers,1,5,4.909090909090909,4.909090909090909,5.0,5.0,5.0,0.5597485616547201
Rephrased Gold Answers,2,1,4.8,4.8,5.0,5.0,5.0,0.5195115995115996
Rephrased Gold Answers,2,2,4.8,4.8,5.0,5.0,5.0,0.49841269841269853
Rephrased Gold Answers,2,3,4.8,4.8,5.0,5.0,5.0,0.4861782661782662
Rephrased Gold Answers,2,4,4.8,4.8,5.0,5.0,5.0,0.5028449328449329
Rephrased Gold Answers,2,5,4.8,4.8,5.0,5.0,5.0,0.4828449328449329
Rephrased Gold Answers,3,1,4.523809523809524,4.523809523809524,4.809523809523809,5.0,4.9523809523809526,0.5103508924937495
Rephrased Gold Answers,3,2,4.619047619047619,4.619047619047619,4.857142857142857,5.0,4.9523809523809526,0.5143758358044073
Rephrased Gold Answers,3,3,4.619047619047619,4.619047619047619,4.904761904761905,5.0,4.9523809523809526,0.5535292749578464
Rephrased Gold Answers,3,4,4.523809523809524,4.571428571428571,4.809523809523809,5.0,4.9523809523809526,0.5143758358044073
Rephrased Gold Answers,3,5,4.523809523809524,4.571428571428571,4.857142857142857,5.0,4.9523809523809526,0.5143758358044073
