model,category_id,iteration_number,Supervised,Unsupervised
Llama 3.3-70B-Instruct,3,2,4.0,4.666666666666667
Llama 3.3-70B-Instruct,3,3,3.8333333333333335,4.833333333333333
Llama 3.3-70B-Instruct,3,4,4.0,4.666666666666667
Llama 3.3-70B-Instruct,3,5,3.8333333333333335,4.666666666666667
Med42-70B,2,1,3.0,4.8
Med42-70B,2,2,3.0,4.6
Med42-70B,2,3,3.3333333333333335,4.0
Med42-70B,2,4,3.0,4.6
Med42-70B,2,5,3.0,4.6
Med42-70B,3,1,4.166666666666667,4.666666666666667
Med42-70B,3,2,4.166666666666667,4.833333333333333
Med42-70B,3,3,4.0,4.666666666666667
Med42-70B,3,4,4.0,4.833333333333333
Med42-70B,3,5,4.0,4.833333333333333
MedGemma 27B,2,1,3.8,4.8
MedGemma 27B,2,2,4.25,4.75
MedGemma 27B,2,3,3.8,5.0
MedGemma 27B,2,4,4.4,5.0
MedGemma 27B,2,5,4.166666666666667,4.833333333333333
MedGemma 27B,3,1,4.333333333333333,4.833333333333333
MedGemma 27B,3,2,4.2,4.6
MedGemma 27B,3,3,4.333333333333333,4.833333333333333
MedGemma 27B,3,4,4.0,4.833333333333333
MedGemma 27B,3,5,4.0,4.833333333333333
Meditron 3-70B,2,1,4.0,4.666666666666667
Meditron 3-70B,2,2,3.8333333333333335,4.5
Meditron 3-70B,2,3,3.8333333333333335,4.833333333333333
Meditron 3-70B,2,4,4.166666666666667,4.833333333333333
Meditron 3-70B,2,5,4.0,4.666666666666667
Meditron 3-70B,3,1,4.166666666666667,4.333333333333333
Meditron 3-70B,3,2,3.5,4.5
Meditron 3-70B,3,3,4.0,4.833333333333333
Meditron 3-70B,3,4,3.8333333333333335,4.333333333333333
Meditron 3-70B,3,5,3.6666666666666665,4.333333333333333
NVLM-70B,2,1,4.0,4.666666666666667
NVLM-70B,2,2,4.0,4.666666666666667
NVLM-70B,2,3,4.0,4.666666666666667
NVLM-70B,2,4,4.0,4.666666666666667
NVLM-70B,2,5,4.0,4.666666666666667
NVLM-70B,3,1,3.3333333333333335,4.166666666666667
NVLM-70B,3,2,3.1666666666666665,4.166666666666667
NVLM-70B,3,3,3.3333333333333335,4.166666666666667
NVLM-70B,3,4,3.3333333333333335,4.166666666666667
NVLM-70B,3,5,3.5,4.166666666666667
