model,category_id,iteration_number,MedGPT1,MedGPT2,MedGPT3,MedGPT4,MedGPT5
Gemma 3 27B,1,3,4.0,3.909090909090909,4.2727272727272725,5.0,5.0
Gemma 3 27B,1,4,3.8636363636363638,3.8636363636363638,4.181818181818182,5.0,5.0
Gemma 3 27B,1,5,3.8181818181818183,3.727272727272727,4.181818181818182,5.0,5.0
Gemma 3 27B,2,1,3.7,3.6,4.2,5.0,4.5
Gemma 3 27B,2,2,3.4,3.4,3.9,5.0,4.6
Gemma 3 27B,2,3,3.7,3.6,3.9,5.0,4.6
Gemma 3 27B,2,4,3.7,3.6,3.9,5.0,4.6
Gemma 3 27B,2,5,3.5,3.4,3.9,5.0,4.5
Gemma 3 27B,3,1,3.5714285714285716,3.3333333333333335,4.0,5.0,4.571428571428571
Gemma 3 27B,3,2,3.5714285714285716,3.4761904761904763,3.857142857142857,5.0,4.571428571428571
Gemma 3 27B,3,3,3.4761904761904763,3.4761904761904763,3.761904761904762,4.904761904761905,4.380952380952381
Gemma 3 27B,3,4,3.619047619047619,3.5238095238095237,4.0,5.0,4.523809523809524
Gemma 3 27B,3,5,3.7142857142857144,3.4285714285714284,3.9047619047619047,5.0,4.476190476190476
Llama 3.1-8B-Instruct,1,1,3.6363636363636362,3.6363636363636362,4.0,5.0,4.909090909090909
Llama 3.1-8B-Instruct,1,2,3.727272727272727,3.6363636363636362,4.090909090909091,5.0,4.909090909090909
Llama 3.1-8B-Instruct,1,3,3.8181818181818183,3.5454545454545454,3.8181818181818183,5.0,4.909090909090909
Llama 3.1-8B-Instruct,1,4,3.8181818181818183,3.6363636363636362,4.090909090909091,5.0,4.909090909090909
Llama 3.1-8B-Instruct,1,5,4.0,3.8181818181818183,4.2727272727272725,5.0,5.0
Llama 3.1-8B-Instruct,2,1,3.1,3.0,3.4,5.0,4.2
Llama 3.1-8B-Instruct,2,2,3.8,3.4,3.8,5.0,4.7
Llama 3.1-8B-Instruct,2,3,3.2,2.8,3.5,5.0,4.3
Llama 3.1-8B-Instruct,2,4,3.5,3.3,3.7,5.0,4.6
Llama 3.1-8B-Instruct,2,5,3.6,3.4,3.8,5.0,4.5
Llama 3.1-8B-Instruct,3,1,3.2857142857142856,2.857142857142857,3.6666666666666665,5.0,4.333333333333333
Llama 3.1-8B-Instruct,3,2,3.3333333333333335,3.0,3.4761904761904763,5.0,4.238095238095238
Llama 3.1-8B-Instruct,3,3,3.238095238095238,2.9047619047619047,3.5238095238095237,5.0,4.285714285714286
Llama 3.1-8B-Instruct,3,4,3.0,2.7142857142857144,3.142857142857143,5.0,4.095238095238095
Llama 3.1-8B-Instruct,3,5,3.142857142857143,3.0,3.5238095238095237,5.0,4.142857142857143
Llama 3.2-1B-Instruct,1,1,2.8181818181818183,2.1818181818181817,2.3636363636363638,5.0,3.727272727272727
Llama 3.2-1B-Instruct,1,2,3.090909090909091,2.5454545454545454,2.727272727272727,5.0,4.090909090909091
Llama 3.2-1B-Instruct,1,3,2.5454545454545454,2.1818181818181817,2.272727272727273,5.0,3.5454545454545454
Llama 3.2-1B-Instruct,1,4,2.5454545454545454,2.1818181818181817,2.4545454545454546,5.0,3.3636363636363638
Llama 3.2-1B-Instruct,1,5,3.272727272727273,2.727272727272727,3.1818181818181817,5.0,4.2727272727272725
Llama 3.2-1B-Instruct,2,1,1.6,1.5,1.8,5.0,3.0
Llama 3.2-1B-Instruct,2,2,1.8,1.5,1.8,4.8,2.6
Llama 3.2-1B-Instruct,2,3,2.3,2.1,2.4,4.8,3.3
Llama 3.2-1B-Instruct,2,4,2.5,2.2,2.4,5.0,3.2
Llama 3.2-1B-Instruct,2,5,2.1,1.9,2.2,4.9,3.5
Llama 3.2-1B-Instruct,3,1,2.142857142857143,1.8095238095238095,2.142857142857143,5.0,3.761904761904762
Llama 3.2-1B-Instruct,3,2,2.3333333333333335,1.9523809523809523,2.3333333333333335,5.0,3.2857142857142856
Llama 3.2-1B-Instruct,3,3,2.0476190476190474,1.619047619047619,2.1904761904761907,5.0,3.0
Llama 3.2-1B-Instruct,3,4,2.0,1.619047619047619,2.0952380952380953,5.0,2.9523809523809526
Llama 3.2-1B-Instruct,3,5,2.0476190476190474,1.7142857142857142,2.0476190476190474,5.0,3.0952380952380953
Llama 3.3-70B-Instruct,1,1,3.8181818181818183,3.6363636363636362,4.0,5.0,5.0
Llama 3.3-70B-Instruct,1,2,3.909090909090909,3.727272727272727,4.2727272727272725,5.0,5.0
Llama 3.3-70B-Instruct,1,3,3.909090909090909,3.727272727272727,4.0,5.0,5.0
Llama 3.3-70B-Instruct,1,4,3.909090909090909,3.8181818181818183,4.181818181818182,5.0,5.0
Llama 3.3-70B-Instruct,1,5,3.909090909090909,3.8181818181818183,4.181818181818182,5.0,5.0
Llama 3.3-70B-Instruct,2,1,4.0,3.7,4.4,5.0,4.9
Llama 3.3-70B-Instruct,2,2,3.9,3.7,4.2,5.0,4.9
Llama 3.3-70B-Instruct,2,3,3.8,3.7,4.4,5.0,4.8
Llama 3.3-70B-Instruct,2,4,4.0,3.8,4.6,5.0,4.9
Llama 3.3-70B-Instruct,2,5,4.1,4.0,4.5,5.0,4.9
Llama 3.3-70B-Instruct,3,1,3.7142857142857144,3.4285714285714284,4.095238095238095,5.0,4.714285714285714
Llama 3.3-70B-Instruct,3,2,3.9523809523809526,3.5714285714285716,4.190476190476191,5.0,4.761904761904762
Llama 3.3-70B-Instruct,3,3,3.9523809523809526,3.7142857142857144,4.238095238095238,5.0,4.761904761904762
Llama 3.3-70B-Instruct,3,4,3.9047619047619047,3.7142857142857144,4.142857142857143,5.0,4.571428571428571
Llama 3.3-70B-Instruct,3,5,4.0,3.761904761904762,4.190476190476191,5.0,4.809523809523809
Med42-70B,1,1,3.727272727272727,3.4545454545454546,3.909090909090909,4.909090909090909,4.7272727272727275
Med42-70B,1,2,3.727272727272727,3.6363636363636362,3.909090909090909,4.909090909090909,4.818181818181818
Med42-70B,1,3,3.727272727272727,3.6363636363636362,3.8181818181818183,4.909090909090909,4.818181818181818
Med42-70B,1,4,3.8181818181818183,3.6363636363636362,4.0,4.909090909090909,4.818181818181818
Med42-70B,1,5,3.8181818181818183,3.6363636363636362,4.0,4.909090909090909,4.818181818181818
Med42-70B,2,1,3.25,3.0,3.75,5.0,4.5
Med42-70B,2,2,3.25,2.875,3.625,5.0,4.375
Med42-70B,2,3,3.2222222222222223,3.0,3.6666666666666665,5.0,4.222222222222222
Med42-70B,2,4,3.5,3.125,3.75,5.0,4.625
Med42-70B,2,5,3.25,3.125,3.75,5.0,4.5
Med42-70B,3,1,3.75,3.6,4.2,5.0,4.6
Med42-70B,3,2,3.8,3.7,4.25,5.0,4.7
Med42-70B,3,3,3.85,3.65,4.15,5.0,4.65
Med42-70B,3,4,3.9,3.75,4.25,5.0,4.65
Med42-70B,3,5,3.85,3.7,4.2,5.0,4.7
MedGemma 27B,1,1,4.0,3.909090909090909,4.454545454545454,5.0,5.0
MedGemma 27B,1,2,4.090909090909091,4.090909090909091,4.2727272727272725,5.0,5.0
MedGemma 27B,1,3,4.0,3.909090909090909,4.454545454545454,5.0,5.0
MedGemma 27B,1,4,3.909090909090909,3.8181818181818183,4.545454545454546,5.0,5.0
MedGemma 27B,1,5,4.045454545454546,3.9545454545454546,4.545454545454546,5.0,5.0
MedGemma 27B,2,1,3.8,3.8,4.3,5.0,4.7
MedGemma 27B,2,2,3.9,3.9,4.4,5.0,4.8
MedGemma 27B,2,3,3.8,3.8,4.2,5.0,4.9
MedGemma 27B,2,4,4.1,4.1,4.5,5.0,4.9
MedGemma 27B,2,5,4.1,4.0,4.4,5.0,4.8
MedGemma 27B,3,1,4.0,3.857142857142857,4.476190476190476,5.0,4.809523809523809
MedGemma 27B,3,2,4.095238095238095,4.0,4.571428571428571,5.0,4.857142857142857
MedGemma 27B,3,3,4.238095238095238,4.285714285714286,4.666666666666667,5.0,4.904761904761905
MedGemma 27B,3,4,4.142857142857143,3.9047619047619047,4.285714285714286,5.0,4.904761904761905
MedGemma 27B,3,5,4.0,3.9047619047619047,4.333333333333333,5.0,4.714285714285714
Meditron 3-70B,1,1,3.4545454545454546,3.272727272727273,3.5454545454545454,5.0,5.0
Meditron 3-70B,1,2,3.5454545454545454,3.4545454545454546,3.727272727272727,5.0,4.818181818181818
Meditron 3-70B,1,3,3.5454545454545454,3.272727272727273,3.727272727272727,5.0,4.909090909090909
Meditron 3-70B,1,4,3.727272727272727,3.5454545454545454,3.727272727272727,5.0,4.909090909090909
Meditron 3-70B,1,5,3.5454545454545454,3.3636363636363638,3.6363636363636362,5.0,4.909090909090909
Meditron 3-70B,2,1,3.7,3.4,4.2,5.0,4.7
Meditron 3-70B,2,2,3.8,3.6,4.0,5.0,4.5
Meditron 3-70B,2,3,3.6,3.4,4.1,5.0,4.7
Meditron 3-70B,2,4,4.0,3.8,4.4,5.0,4.8
Meditron 3-70B,2,5,3.9,3.8,4.2,5.0,4.8
Meditron 3-70B,3,1,3.761904761904762,3.5238095238095237,4.190476190476191,5.0,4.714285714285714
Meditron 3-70B,3,2,3.619047619047619,3.380952380952381,4.095238095238095,5.0,4.619047619047619
Meditron 3-70B,3,3,3.857142857142857,3.5238095238095237,4.142857142857143,5.0,4.761904761904762
Meditron 3-70B,3,4,3.6666666666666665,3.5238095238095237,4.0476190476190474,5.0,4.571428571428571
Meditron 3-70B,3,5,3.7142857142857144,3.3333333333333335,3.8095238095238093,5.0,4.523809523809524
NVLM-70B,1,1,3.909090909090909,3.8181818181818183,4.454545454545454,5.0,5.0
NVLM-70B,1,2,3.909090909090909,3.8181818181818183,4.454545454545454,5.0,5.0
NVLM-70B,1,3,3.909090909090909,3.8181818181818183,4.545454545454546,5.0,5.0
NVLM-70B,1,4,4.181818181818182,4.090909090909091,4.545454545454546,5.0,5.0
NVLM-70B,1,5,4.181818181818182,4.090909090909091,4.454545454545454,5.0,5.0
NVLM-70B,2,1,3.7,3.4,3.8,5.0,4.6
NVLM-70B,2,2,3.6,3.3,3.8,5.0,4.5
NVLM-70B,2,3,3.6,3.4,3.8,5.0,4.5
NVLM-70B,2,4,3.7,3.5,3.9,5.0,4.6
NVLM-70B,2,5,3.7,3.3,3.8,5.0,4.7
NVLM-70B,3,1,3.142857142857143,2.9047619047619047,3.4761904761904763,5.0,3.9047619047619047
NVLM-70B,3,2,3.0476190476190474,2.857142857142857,3.380952380952381,5.0,3.9047619047619047
NVLM-70B,3,3,3.142857142857143,2.857142857142857,3.4761904761904763,5.0,4.0476190476190474
NVLM-70B,3,4,3.142857142857143,2.9047619047619047,3.2857142857142856,5.0,3.9523809523809526
NVLM-70B,3,5,3.238095238095238,3.0,3.4285714285714284,5.0,3.9523809523809526
Rephrased Gold Answers,1,1,4.818181818181818,4.818181818181818,5.0,5.0,5.0
Rephrased Gold Answers,1,2,4.909090909090909,4.909090909090909,5.0,5.0,5.0
Rephrased Gold Answers,1,3,5.0,5.0,5.0,5.0,5.0
Rephrased Gold Answers,1,4,4.909090909090909,5.0,5.0,5.0,5.0
Rephrased Gold Answers,1,5,4.909090909090909,4.909090909090909,5.0,5.0,5.0
Rephrased Gold Answers,2,1,4.8,4.8,5.0,5.0,5.0
Rephrased Gold Answers,2,2,4.8,4.8,5.0,5.0,5.0
Rephrased Gold Answers,2,3,4.8,4.8,5.0,5.0,5.0
Rephrased Gold Answers,2,4,4.8,4.8,5.0,5.0,5.0
Rephrased Gold Answers,2,5,4.8,4.8,5.0,5.0,5.0
Rephrased Gold Answers,3,1,4.523809523809524,4.523809523809524,4.809523809523809,5.0,4.9523809523809526
Rephrased Gold Answers,3,2,4.619047619047619,4.619047619047619,4.857142857142857,5.0,4.9523809523809526
Rephrased Gold Answers,3,3,4.619047619047619,4.619047619047619,4.904761904761905,5.0,4.9523809523809526
Rephrased Gold Answers,3,4,4.523809523809524,4.571428571428571,4.809523809523809,5.0,4.9523809523809526
Rephrased Gold Answers,3,5,4.523809523809524,4.571428571428571,4.857142857142857,5.0,4.9523809523809526
