model,subfolder,category_id,GPT1_iter_mean,GPT2_iter_mean,GPT3_iter_mean,GPT4_iter_mean,GPT5_iter_mean,GPT_overall_score_iter_mean,GPT_overall_score_wo_Q4&5_iter_mean,GPT1_iter_std,GPT2_iter_std,GPT3_iter_std,GPT4_iter_std,GPT5_iter_std,GPT_overall_score_iter_std,GPT_overall_score_wo_Q4&5_iter_std
Llama,Llama_api,5,4.333333333333333,4.0606060606060606,4.151515151515151,5.0,4.787878787878788,4.466666666666666,4.181818181818182,0.209945552432591,0.18924236358783,0.1049727762162955,0.0,0.05248638810814775,0.10013764631429262,0.15151515151515138
Llama,Llama_api,6,4.466666666666667,3.8333333333333335,4.1,5.0,4.8999999999999995,4.46,4.133333333333333,0.20816659994661357,0.30550504633038894,0.0,0.0,0.1000000000000002,0.09165151389911659,0.16666666666666669
Llama,Llama_local,1,4.484848484848484,4.090909090909091,4.151515151515151,5.0,5.0,4.545454545454546,4.242424242424242,0.0524863881081482,0.1574591643244435,0.209945552432591,0.0,0.0,0.07272727272727286,0.1212121212121211
Llama,Llama_local,2,2.6666666666666665,2.433333333333333,2.5,5.0,4.666666666666667,3.453333333333333,2.533333333333333,0.2516611478423585,0.35118845842842455,0.2999999999999998,0.0,0.5773502691896257,0.28589042189855446,0.2999999999999998
Llama,Llama_local,3,4.222222222222222,3.722222222222222,3.722222222222222,5.0,4.75,4.283333333333334,3.888888888888889,0.3367876570272815,0.20971762320196513,0.25458753860865796,0.0,0.14433756729740638,0.18333333333333324,0.26498311150470727
Llama,Llama_local,4,4.033333333333333,3.6,3.733333333333333,5.0,4.633333333333333,4.2,3.788888888888889,0.1527525231651948,0.34641016151377546,0.35118845842842455,0.0,0.15275252316519458,0.19697715603592197,0.27755546659548425
Llama,Llama_local,5,4.151515151515151,3.606060606060606,3.96969696969697,4.787878787878788,4.515151515151515,4.206060606060606,3.9090909090909087,0.13886593015017684,0.05248638810814775,0.1049727762162955,0.3674047167570347,0.27773186030035435,0.16893769533050068,0.08017428215347237
Llama,Llama_local,6,4.266666666666667,3.733333333333333,3.8666666666666667,5.0,4.6000000000000005,4.293333333333334,3.9555555555555553,0.20816659994661332,0.15275252316519444,0.20816659994661296,0.0,0.17320508075688776,0.14468356276140423,0.1835856849095365
Med42,Med42,1,4.633333333333334,4.2,4.2,5.0,5.0,4.6066666666666665,4.344444444444444,0.37859388972001834,0.3605551275463992,0.20000000000000018,0.0,0.0,0.18583146486355115,0.30971910810591874
Med42,Med42,2,3.233333333333333,2.8333333333333335,2.766666666666667,5.0,5.0,3.766666666666667,2.9444444444444446,0.3785938897200183,0.20816659994661316,0.35118845842842467,0.0,0.0,0.17925772879665003,0.29876288132775
Med42,Med42,3,4.866666666666666,4.566666666666666,4.566666666666666,5.0,4.966666666666667,4.793333333333333,4.666666666666667,0.11547005383792526,0.15275252316519422,0.11547005383792532,0.0,0.05773502691896237,0.08082903768654714,0.1201850425154661
Med42,Med42,4,4.3,3.8333333333333335,3.8666666666666667,5.0,4.8,4.36,4.0,0.26457513110645886,0.2516611478423579,0.32145502536643167,0.0,0.1000000000000002,0.17088007490635101,0.25166114784235855
Med42,Med42,5,4.303030303030303,3.7878787878787876,3.9393939393939394,4.878787878787879,4.636363636363637,4.309090909090909,4.0101010101010095,0.18924236358783,0.3784847271756604,0.31926223493493155,0.209945552432591,0.24052284646041758,0.2577717614319602,0.29118253142221345
Med42,Med42,6,3.8666666666666667,3.3333333333333335,3.4333333333333336,5.0,4.5,4.026666666666666,3.5444444444444443,0.3055050463303893,0.47258156262526096,0.40414518843273795,0.0,0.09999999999999964,0.25166114784235827,0.3863408589047491
Meditron,Meditron_api,1,4.484848484848484,3.96969696969697,3.848484848484848,5.0,4.96969696969697,4.454545454545454,4.101010101010101,0.0524863881081482,0.05248638810814775,0.13886593015017726,0.0,0.05248638810814749,0.03636363636363693,0.04628864338339197
Meditron,Meditron_api,2,3.1,2.6,2.3000000000000003,5.0,5.0,3.6,2.6666666666666665,0.10000000000000009,0.1732050807568878,0.17320508075688756,0.0,0.0,0.05291502622129209,0.08819171036881979
Meditron,Meditron_api,3,4.611111111111112,4.083333333333333,4.138888888888889,5.0,4.805555555555555,4.527777777777778,4.277777777777778,0.09622504486493785,0.14433756729740657,0.04811252243246909,0.0,0.0481125224324689,0.04811252243246864,0.07349309197401623
Meditron,Meditron_api,4,4.5,3.9333333333333336,4.133333333333333,5.0,4.966666666666667,4.506666666666667,4.188888888888889,0.09999999999999964,0.057735026918962824,0.15275252316519428,0.0,0.05773502691896237,0.03055050463303918,0.06938886664887106
Meditron,Meditron_api,5,4.151515151515151,3.606060606060606,3.7878787878787876,5.0,4.575757575757575,4.224242424242424,3.848484848484848,0.22878286167487122,0.3674047167570346,0.31926223493493133,0.0,0.2624319405407392,0.22878286167487144,0.3030303030303031
Meditron,Meditron_api,6,4.1,3.466666666666667,3.5666666666666664,5.0,4.566666666666666,4.14,3.711111111111111,0.0,0.05773502691896269,0.05773502691896269,0.0,0.05773502691896237,0.020000000000000462,0.03849001794597492
Meditron,Meditron_local,1,3.121212121212121,2.5454545454545454,2.7878787878787876,4.848484848484849,4.454545454545454,3.5515151515151513,2.818181818181818,0.5844636824844215,0.3962635403218793,0.4099317957111723,0.2624319405407385,0.7925270806437591,0.48458326079128905,0.45856805910368365
Meditron,Meditron_local,2,1.8962962962962964,1.6074074074074076,1.9407407407407409,5.0,4.4259259259259265,2.9740740740740743,1.8148148148148147,0.10020555006273102,0.05592469952052408,0.315315505982115,0.0,0.08486251286955265,0.08486251286955274,0.14814814814814814
Meditron,Meditron_local,3,3.522727272727273,3.1414141414141414,3.558080808080808,5.0,4.792929292929293,4.003030303030303,3.407407407407407,0.2020044185753541,0.2149878449878058,0.09350256859380603,0.0,0.14078141277541764,0.1053656887922041,0.1418943266377472
Meditron,Meditron_local,4,3.233333333333333,2.6833333333333336,2.8833333333333333,5.0,4.466666666666667,3.6533333333333338,2.933333333333333,0.5513241635674364,0.652559065015063,0.5838093296045666,0.0,0.7290118883347058,0.49652123150307853,0.5949439749533844
Meditron,Meditron_local,5,2.4606060606060605,2.0575757575757576,2.306060606060606,4.215151515151515,3.5606060606060606,2.92,2.2747474747474747,0.2636886050643281,0.19291871566541852,0.1841516921725878,0.20737105589000743,0.2332546108839494,0.14325611348067038,0.19547999207933406
Meditron,Meditron_local,6,3.5833333333333335,3.2619047619047614,3.4345238095238098,5.0,4.678571428571428,3.9916666666666667,3.426587301587302,0.658861623905796,0.8815956467416008,0.8734193692366934,0.0,0.36246041303900806,0.5519022453617798,0.8000215534700477
NVLM,NVLM,1,4.8,4.3,4.3,5.0,5.0,4.68,4.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVLM,NVLM,2,2.966666666666667,2.5666666666666664,2.4,5.0,5.0,3.5866666666666664,2.6444444444444444,0.1527525231651949,0.20816659994661318,0.10000000000000009,0.0,0.0,0.04163331998932279,0.06938886664887131
NVLM,NVLM,3,4.433333333333334,3.733333333333333,3.8666666666666667,5.0,4.8,4.366666666666667,4.011111111111111,0.05773502691896237,0.05773502691896237,0.05773502691896269,0.0,0.0,0.011547005383792334,0.01924500897298746
NVLM,NVLM,4,3.1,2.3000000000000003,2.6,5.0,4.266666666666667,3.453333333333333,2.6666666666666665,0.10000000000000009,0.09999999999999992,0.1000000000000002,0.0,0.15275252316519494,0.06429100507328633,0.05773502691896266
NVLM,NVLM,5,4.0,3.696969696969697,3.9393939393939394,5.0,4.484848484848484,4.224242424242424,3.8787878787878785,0.0,0.05248638810814775,0.05248638810814775,0.0,0.1388659301501775,0.02777318603003516,0.0
NVLM,NVLM,6,3.4,2.6666666666666665,3.033333333333333,5.0,4.633333333333333,3.7466666666666666,3.033333333333333,0.1000000000000002,0.05773502691896247,0.05773502691896247,0.0,0.05773502691896327,0.011547005383792781,0.033333333333333215
